2025-06-06 20:53:23 0 [Note] Starting MariaDB 10.4.32-MariaDB source revision c4143f909528e3fab0677a28631d10389354c491 as process 4280
2025-06-06 20:53:23 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2025-06-06 20:53:23 0 [Note] InnoDB: Uses event mutexes
2025-06-06 20:53:23 0 [Note] InnoDB: Compressed tables use zlib 1.3
2025-06-06 20:53:23 0 [Note] InnoDB: Number of pools: 1
2025-06-06 20:53:23 0 [Note] InnoDB: Using SSE2 crc32 instructions
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=3] with future log sequence number 2156368
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=2] with future log sequence number 2156368
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=253] with future log sequence number 2101603
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=372] with future log sequence number 2101603
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=255] with future log sequence number 2099438
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=424] with future log sequence number 2099438
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=254] with future log sequence number 2098224
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=390] with future log sequence number 2098224
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=252] with future log sequence number 2097491
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=389] with future log sequence number 2097491
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=251] with future log sequence number 2095121
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=388] with future log sequence number 2095121
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=250] with future log sequence number 2094680
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=371] with future log sequence number 2094680
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=249] with future log sequence number 2093441
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=370] with future log sequence number 2093441
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=248] with future log sequence number 2091031
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=387] with future log sequence number 2091031
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=247] with future log sequence number 2090613
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=288] with future log sequence number 2183498
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=117, page number=3] with future log sequence number 2183518
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=415] with future log sequence number 2183498
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=287] with future log sequence number 2182990
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=414] with future log sequence number 2182990
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=286] with future log sequence number 2181740
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=437] with future log sequence number 2181740
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=285] with future log sequence number 2181362
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=104, page number=3] with future log sequence number 2183021
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=413] with future log sequence number 2181362
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=283] with future log sequence number 2180972
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=429] with future log sequence number 2180972
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=282] with future log sequence number 2178650
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=411] with future log sequence number 2178650
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=277] with future log sequence number 2178080
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=435] with future log sequence number 2178080
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=276] with future log sequence number 2178020
2025-06-06 20:53:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=405] with future log sequence number 2178020
